code,description,month,year,value_uss,quantity_kg
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",04,2016,1135638,159511
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",04,2016,516837,60107
030111,Peixes ornamentais de água doce,04,2016,436584,4068
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",04,2016,883315,553812
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",04,2016,386950,61496
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",04,2016,241654,30429
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",04,2016,547607,70045
030617,"Outros camarões, congelados",04,2016,156846,15610
030489,"Filés de outros peixes, congelados",04,2016,186123,17320
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,913710,429145
030611,Lagostas congeladas,04,2016,341,20
030382,"Raias (rajidae), congeladas",04,2016,562267,189932
030571,Barbatanas de tubarão,04,2016,44352,1503
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,380260,79091
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,449621,130927
030489,"Filés de outros peixes, congelados",04,2016,4464,327
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",04,2016,405352,57781
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",04,2016,51400,26000
030119,Outros peixes ornamentais vivos,04,2016,34849,446
030614,Caranguejos congelados,04,2016,113999,19994
030819,"Pepinos-do-mar, em outras formas",04,2016,1920,960
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,128923,22842
030489,"Filés de outros peixes, congelados",04,2016,14340,1085
030520,"Fígados, ovas e sêmen de peixes, secos, defumados, salgados ou em salmoura",04,2016,9340,130
030244,"Cavalinhas, frescas ou refrigeradas",04,2016,1680,254
030289,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,454138,116729
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2016,1558933,980461
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,1626412,442352
030572,"Cabeças, caudas e bexigas natatórias, de peixes",03,2016,1253620,44470
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2016,798906,99784
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",03,2016,1510594,215987
030111,Peixes ornamentais de água doce,03,2016,624145,5660
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",03,2016,369951,57441
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,136342,49935
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2016,212779,25634
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",03,2016,458924,58481
030611,Lagostas congeladas,03,2016,73861,4490
030489,"Filés de outros peixes, congelados",03,2016,2604,191
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2016,358,145
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,324640,56887
030611,Lagostas congeladas,03,2016,1230885,38053
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,469592,97650
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,176448,105505
030382,"Raias (rajidae), congeladas",03,2016,793600,271434
030571,Barbatanas de tubarão,03,2016,91020,3220
030474,"Filés de merluzas e abroteas, congelados",03,2016,3687,1000
030119,Outros peixes ornamentais vivos,03,2016,44456,460
030461,"Filés de tilápias (Oreochromis spp.), congelados",03,2016,37008,5747
030489,"Filés de outros peixes, congelados",03,2016,169687,20843
030289,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,587,150
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2016,535360,71807
030489,"Filés de outros peixes, congelados",03,2016,7440,563
030289,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,377,57
030244,"Cavalinhas, frescas ou refrigeradas",03,2016,472,71
030614,Caranguejos congelados,03,2016,117926,19988
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2016,91229,18144
030389,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,1861771,488453
030572,"Cabeças, caudas e bexigas natatórias, de peixes",02,2016,972400,34583
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",02,2016,554855,73723
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",02,2016,1097430,138401
030289,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,349521,82665
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",02,2016,451525,58250
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",02,2016,395787,66455
030111,Peixes ornamentais de água doce,02,2016,495240,5146
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",02,2016,124150,15989
030389,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,250355,96034
030489,"Filés de outros peixes, congelados",02,2016,37682,4219
030357,"Espadarte (Xiphias gladius), congelado",02,2016,166713,35694
030389,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,705686,437563
030389,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,202618,35250
030389,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,468244,84923
030571,Barbatanas de tubarão,02,2016,36317,1222
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",02,2016,56479,15313
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",02,2016,392377,55246
030119,Outros peixes ornamentais vivos,02,2016,23600,225
030289,"Outros peixes, exceto fígados, ovas e sêmen",02,2016,2015,500
030489,"Filés de outros peixes, congelados",02,2016,568,45
030520,"Fígados, ovas e sêmen de peixes, secos, defumados, salgados ou em salmoura",02,2016,5950,80
030572,"Cabeças, caudas e bexigas natatórias, de peixes",01,2016,1565059,42252
030389,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,1956307,560107
030389,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,594828,97393
030389,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,367244,113646
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",01,2016,304838,47375
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",01,2016,383856,48470
030111,Peixes ornamentais de água doce,01,2016,718298,6527
030289,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,300742,75830
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",01,2016,471709,58180
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",01,2016,629358,117439
030382,"Raias (rajidae), congeladas",01,2016,5256,2540
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",01,2016,43407,27300
030611,Lagostas congeladas,01,2016,168677,9400
030389,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,408763,242150
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",01,2016,126602,16333
030389,"Outros peixes, exceto fígados, ovas e sêmen",01,2016,300207,59730
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",01,2016,6705,531
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",01,2016,495812,63740
030324,"Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",01,2016,105610,21583
030611,Lagostas congeladas,01,2016,526849,15944
030119,Outros peixes ornamentais vivos,01,2016,14849,181
030489,"Filés de outros peixes, congelados",01,2016,215722,24743
030611,Lagostas congeladas,12,2016,3878124,112551
030389,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,2760091,470246
030611,Lagostas congeladas,12,2016,2075587,117472
030389,"Outros peixes, exceto fígados, ovas e sêmen",12,2016,1759779,566501
030572,"Cabeças, caudas e bexigas natatórias, de peixes",12,2016,1268053,51583
