Lisbão,#N/A,#N/A
Camarão-barba-ruça,#N/A,#N/A
Camarão-santana + barba-ruca,#N/A,#N/A
Pitú,#N/A,#N/A
Cação-anequim,#N/A,#N/A
Cação-cabeca-chata,#N/A,#N/A
Cação-martelo,#N/A,#N/A
Cação-tigre,#N/A,#N/A
Cações,#N/A,#N/A
Caçonete,#N/A,#N/A
Emplastro,#N/A,#N/A
Raia,#N/A,#N/A
Calamar-argentino,#N/A,#N/A
Abrótea-de-fundo,#N/A,#N/A
Albacora-lage,Albacore,Albacore
Atum,Blow goat,Blow Goat
Bonito-cachorro,Blow goat,Blow Goat
Bonito-listrado,Arctic bonito,Arctic Bonito
Cabra,East Atlantic red gurnard,East Atlantic Red Gurnard
Enguia,Common eel,Common Eel
Ferrinho,#N/A,#N/A
Galo-de-profundidade,#N/A,#N/A
Lanceta,#N/A,#N/A
Mangangá,#N/A,#N/A
Meca,#N/A,#N/A
Peixe-porco,#N/A,#N/A
Peixe-sapo,#N/A,#N/A
Pescada,#N/A,#N/A
Pescadinha-real,#N/A,#N/A
Pijirica,#N/A,#N/A
Prego,#N/A,#N/A
Sardinha-lage,#N/A,#N/A
Cação-bagre,#N/A,#N/A
Ratinho,#N/A,#N/A
Ovas,#N/A,#N/A
Agulhão-azul,#N/A,#N/A
Maria-luiza,#N/A,#N/A
Peixe-tábua,#N/A,#N/A
Camarão-branco,#N/A,#N/A
Residuo,#N/A,#N/A
Linguado-vermelho,#N/A,#N/A
Peixe-lua,#N/A,#N/A
Aipim,Brazilian flathead,Brazilian Flathead
Serrinha,#N/A,#N/A
Não discriminado,#N/A,#N/A
Albacorinha,Albacore,Albacore
Papa-moscas,#N/A,#N/A
Sardinha-mole,#N/A,#N/A
Pescada-bicuda,#N/A,#N/A
Bonito,Blow goat,Blow Goat
Cherne-galha-amarela,Grouper,Grouper
Cherne-poveiro,#N/A,#N/A
Borriquete,#N/A,#N/A
Raposa,#N/A,#N/A
Vieira,#N/A,#N/A
Cherne,Atlantic wreckfish,Atlantic Wreckfish
Cação-baia,#N/A,#N/A
Camarões,#N/A,#N/A
Moka,#N/A,#N/A
Camarões-rosa,#N/A,#N/A
Cavalas agrupadas,#N/A,#N/A
Nhacunda,#N/A,#N/A
Siri-azul-danae,#N/A,#N/A
Atum-legítimo,#N/A,#N/A
Foguera,#N/A,#N/A
Chama-maré,#N/A,#N/A
Tilápia-do-nilo,#N/A,#N/A
Peixes ósseos,#N/A,#N/A
Cação-galha-branca,#N/A,#N/A
Cavala-empinge,#N/A,#N/A
Camarão-listrado,#N/A,#N/A
Sardinhas agrupadas,#N/A,#N/A
Viola-de-focinho-curto,#N/A,#N/A
Anchovas,#N/A,#N/A
Cação,#N/A,#N/A
Camarao_cativeiro,#N/A,#N/A
Camarao_rosa,#N/A,#N/A
Camarao_seteB,#N/A,#N/A
Cascote,Bashaw,Bashaw
Conglio Rosa,#N/A,#N/A
Curimbata,#N/A,#N/A
Dourado_mar,#N/A,#N/A
Manjuba,#N/A,#N/A
Mexilhao_com_casca,#N/A,#N/A
Mexilhao_limpo,#N/A,#N/A
Mistura_agua_salgada,#N/A,#N/A
Olho de Boi,#N/A,#N/A
Pargo,#N/A,#N/A
Peixe Castanha,#N/A,#N/A
Peroa Branco,#N/A,#N/A
Pescada Amarela,#N/A,#N/A
Pescada Cumbucu,#N/A,#N/A
Pescada Goete,#N/A,#N/A
Pescada Maria Mole,#N/A,#N/A
Pescada Tortinha,#N/A,#N/A
Salmão,#N/A,#N/A
Sardinha Congelada,#N/A,#N/A
Sardinha Fresca,#N/A,#N/A
Sardinha Lages,#N/A,#N/A
Serra,#N/A,#N/A
Siri,#N/A,#N/A
Tilapia,#N/A,#N/A
Traira,#N/A,#N/A
Truta,#N/A,#N/A
Tucunare,#N/A,#N/A
PEIXE,#N/A,#N/A
Bacalhau,Blue whiting,Blue Whiting
Saithe,#N/A,#N/A
Surubim,#N/A,#N/A
Anchova,Anchovy,Anchovy
Polaca do Alasca,#N/A,#N/A
Panga,#N/A,#N/A
Tambaqui,#N/A,#N/A
Salmão do Atlântico,#N/A,#N/A
Sardinha,#N/A,#N/A
Tambatinga,#N/A,#N/A
Cará Açu,#N/A,#N/A
Pangasius,#N/A,#N/A
Polaca,#N/A,#N/A
Ariocó,#N/A,#N/A
Gurijuba,Flapnose sea catfish,Flapnose Sea Catfish
Arraia,#N/A,#N/A
Batata de Pedra,#N/A,#N/A
Peroá,#N/A,#N/A
Dourada,Bream,Bream
Cação Azul,#N/A,#N/A
Filhote,#N/A,#N/A
Zarbo,#N/A,#N/A
Jaú,#N/A,#N/A
Serigado,#N/A,#N/A
Piraúna,#N/A,#N/A
Carpa Comum,#N/A,#N/A
Pirarara,#N/A,#N/A
Pirarucú,#N/A,#N/A
Verdinho,#N/A,#N/A
Pescadinha,#N/A,#N/A
Congro Rosa,#N/A,#N/A
Xerelete,#N/A,#N/A
Peixe Espada,#N/A,#N/A
Peixe Sapo,#N/A,#N/A
Urutinga,#N/A,#N/A
Pirapema,#N/A,#N/A
Tucunaré,#N/A,#N/A
Truta Arco Íris,#N/A,#N/A
Camorim,Common snook,Common Snook
Curimba,Black prochilodus,Black Prochilodus
Cação Anequim,#N/A,#N/A
Sardinha Laje,#N/A,#N/A
Caparari,Catfish,Catfish
Pescada Cambuçu,#N/A,#N/A
Saramonete,#N/A,#N/A
Peixe Galo,#N/A,#N/A
Piranambú,#N/A,#N/A
Ling,#N/A,#N/A
Piracanjuba,#N/A,#N/A
Escolar,#N/A,#N/A
Pescada Branca,#N/A,#N/A
Cubiu,#N/A,#N/A
Tilápia-Saint-Peter,#N/A,#N/A
Piramutaba,#N/A,#N/A
Boca Torta,#N/A,#N/A
Tira Vira,#N/A,#N/A
Peixe Lapa,#N/A,#N/A
Curimatã,#N/A,#N/A
Salmão Coho,#N/A,#N/A
Uritinga,#N/A,#N/A
Acará Açu,#N/A,#N/A
Jundiá,#N/A,#N/A
Dourado do Mar,#N/A,#N/A
Alabote Dente Curvo,#N/A,#N/A
Bejupirá,#N/A,#N/A
Mandubé,#N/A,#N/A
Guaiúba,#N/A,#N/A
Tamboril,#N/A,#N/A
Solha,#N/A,#N/A
Bonito Listrado,#N/A,#N/A
Albacora Bandolim,#N/A,#N/A
Cavala Branca,#N/A,#N/A
Peixe Porco,#N/A,#N/A
Mapará,#N/A,#N/A
Zebra,#N/A,#N/A
Ariacó,#N/A,#N/A
Albacora de Lage,#N/A,#N/A
Peixe Prego,#N/A,#N/A
Papa Terra,#N/A,#N/A
Miragaia,#N/A,#N/A
Alabote da Groenlândia,#N/A,#N/A
Cação Anjo,#N/A,#N/A
Aracu,Characin,Characin
Atum Galha Amarela,#N/A,#N/A
Pintado da Amazônia,#N/A,#N/A
Cação Cambeva,#N/A,#N/A
Apapá,#N/A,#N/A
Barbado,Barbu,Barbu
Piranga,#N/A,#N/A
Meka,#N/A,#N/A
Cambeua,#N/A,#N/A
Dentão,#N/A,#N/A
Aruanã,#N/A,#N/A
Coró,#N/A,#N/A
Bacu,Chocolate catfish,Chocolate Catfish
Acarí Bodó,#N/A,#N/A
Pescada Cambucu,#N/A,#N/A
Mandirá,#N/A,#N/A
Batata do Alto,#N/A,#N/A
Babão,#N/A,#N/A
Peixe Voador,#N/A,#N/A
Matrinxã,#N/A,#N/A
Orana,#N/A,#N/A
Olho de Cão,#N/A,#N/A
Pescada Olhuda,#N/A,#N/A
Agulhinha,Agujon,Agujon
Sarda,#N/A,#N/A
Timbiro,#N/A,#N/A
Branquinha,#N/A,#N/A
Maria Luiza,#N/A,#N/A
Arabaiana,Albacore,Albacore
Alabote do Atlântico,#N/A,#N/A
Beijupirá,#N/A,#N/A
Quatis,#N/A,#N/A
Bonito Cachorro,#N/A,#N/A
Piraíba,#N/A,#N/A
Cação Martelo,#N/A,#N/A
Parú,#N/A,#N/A
Anchoíta,#N/A,#N/A
Caraúna,#N/A,#N/A
Mussum,#N/A,#N/A
Agulha Branca,#N/A,#N/A
Bacalhau da Groenlândia,#N/A,#N/A
Abotoado,Chocolate catfish,Chocolate Catfish
Albacora Branca,#N/A,#N/A
Bonito Pintado,#N/A,#N/A
Merluza de Cauda,#N/A,#N/A
Tambacu,#N/A,#N/A
Piau,#N/A,#N/A
Tamuatá,#N/A,#N/A
Garoupa de São Tomé,#N/A,#N/A
Peixe Lua,#N/A,#N/A
Surubim Cachara,#N/A,#N/A
Catuá,#N/A,#N/A
Curuca,Bashaw,Bashaw
Agulhão Bandeira,#N/A,#N/A
Bonito Barriga Listrada,#N/A,#N/A
Cocoroca,Black grunt,Black Grunt
Sirigado,#N/A,#N/A
Atum Voador,#N/A,#N/A
Clarias,#N/A,#N/A
Bonito do Atlântico,#N/A,#N/A
Cavala Empinge,#N/A,#N/A
Bijupirá,#N/A,#N/A
Sarda do Mar,#N/A,#N/A
Pescada Gó,#N/A,#N/A
Cururuca,#N/A,#N/A
Camurupim,Atlantic tarpon,Atlantic Tarpon
Pirapitinga,#N/A,#N/A
Cod,#N/A,#N/A
Apaiari,#N/A,#N/A
Haddock,#N/A,#N/A
Bandeirado,Catfish,Catfish
Piranjica,#N/A,#N/A
Jundiara,#N/A,#N/A
Tibiro,#N/A,#N/A
Cuiú,#N/A,#N/A
Cara de Gato,#N/A,#N/A
Pargo Rosa,#N/A,#N/A
Chicharro,Jack mackerel,Jack Mackerel
Canguira,#N/A,#N/A
Alabote do Pacífico,#N/A,#N/A
Tubarão,#N/A,#N/A
Serrão,#N/A,#N/A
Albarana,Bonyfish,Bonyfish
Agulhão Branco,#N/A,#N/A
Canguiro,American harvestfish,American Harvestfish
Tamoatá,#N/A,#N/A
Pargo Vermelho,#N/A,#N/A
Merluza Negra,#N/A,#N/A
Bacalhau Pacífico,#N/A,#N/A
Agulhão Vela,#N/A,#N/A
Pescada Cambuci,#N/A,#N/A
Piapara,#N/A,#N/A
Cação Espinhoso,#N/A,#N/A
Marimbau,#N/A,#N/A
Anchoveta,Anchoveta,Anchoveta
Jaraqui,#N/A,#N/A
Bacalhau Polar,#N/A,#N/A
Carpa Capim,#N/A,#N/A
Peixe Pedra,#N/A,#N/A
Piranha,#N/A,#N/A
Catfish Americano,#N/A,#N/A
Carpa Cabeça Grande,#N/A,#N/A
Salmão Keta,#N/A,#N/A
Arenque,Atlantic herring,Atlantic Herring
