code,description,month,year,value_uss,quantity_kg
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",04,2015,2411,91
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",03,2015,39053256,6897680
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",03,2015,10607634,1457110
030474,"Filés de merluzas e abroteas, congelados",03,2015,13394221,4135759
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",03,2015,710570,367990
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",03,2015,8568366,873632
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",03,2015,5590280,1041425
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",03,2015,7018893,1681090
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",03,2015,15207437,6558939
030353,"Sardinhas, congeladas",03,2015,1020063,1333826
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",03,2015,12713910,1869291
030381,Cação e outros tubarões,03,2015,2555491,912030
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,03,2015,3098452,357613
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",03,2015,1244890,289855
030489,"Filés de outros peixes, congelados",03,2015,5009616,1409337
030312,"Outros salmões-do-pacífico, congelados",03,2015,758595,180769
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",03,2015,11580193,1513820
030381,Cação e outros tubarões,03,2015,2448337,1222454
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,978065,569380
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",03,2015,3278962,658692
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,2377942,734621
030473,"Filé de saithe (Pollachius virens), congelado",03,2015,677615,180173
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,961591,452885
030532,"Filés de peixes de famílias específicas, não defumado",03,2015,3682956,387595
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",03,2015,305659,94400
030365,"Saithe (Pollachius virens), congelado",03,2015,471178,75242
030354,"Cavalinhas, congeladas",03,2015,710638,684660
030314,"Trutas (Salmo trutta, Oncorhynchus mykiss, etc.), congeladas",03,2015,277000,55000
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",03,2015,245781,151956
030495,"Peixes de famílias diversas, exceto a merluza-do-alasca",03,2015,304395,31230
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,116852,47160
030367,Merluza-do-alasca (Theragra chalcogramma),03,2015,91140,64195
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,124823,72277
030389,"Outros peixes, exceto fígados, ovas e sêmen",03,2015,115160,52200
030351,"Arenques (Clupea arengus, Clupea pallasii) congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",03,2015,25652,25000
030119,Outros peixes ornamentais vivos,03,2015,16858,633
030369,"Outros peixes de famílias específicas, exceto fígados, ovos e sêmen",03,2015,42638,24450
030111,Peixes ornamentais de água doce,03,2015,13818,418
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",03,2015,2078,55
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",02,2015,37502659,6721753
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",02,2015,8644301,1117021
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",02,2015,1781053,303025
030474,"Filés de merluzas e abroteas, congelados",02,2015,7399281,2267951
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",02,2015,3494791,1782960
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",02,2015,4873716,1172100
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",02,2015,5097024,556640
030353,"Sardinhas, congeladas",02,2015,1346111,1845192
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",02,2015,11863053,1870083
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",02,2015,18570644,7894914
030381,Cação e outros tubarões,02,2015,2405195,796350
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",02,2015,8631554,1076851
030532,"Filés de peixes de famílias específicas, não defumado",02,2015,1423728,162000
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,02,2015,2122984,242529
